tic,gic_sub_industry,gic_industry,gic_group,gic_sector,naics_industry,naics_group,naiscs_sector,sic_industry,sic_group,sic_sector
RGCO,55102010,551020,5510,55,221210,2212,22,4924,492,49
ROK,20104010,201040,2010,20,335314,3353,33,3620,362,36
ROG,45203015,452030,4520,45,334412,3344,33,3672,367,36
ROL,20201050,202010,2020,20,561710,5617,56,7340,734,73
ROST,25504010,255040,2550,25,448140,4481,44,5651,565,56
RGLD,15104030,151040,1510,15,523910,5239,52,6795,679,67
R,20304020,203040,2030,20,532120,5321,53,7510,751,75
SEIC,40203010,402030,4020,40,523930,5239,52,6282,628,62
SJW,55104010,551040,5510,55,221310,2213,22,4941,494,49
SFE,40203010,402030,4020,40,523999,5239,52,6799,679,67
SLB,10101020,101010,1010,10,213112,2131,21,1389,138,13
SCHL,50201040,502010,5020,50,511130,5111,51,2731,273,27
SEB,30202030,302020,3020,30,999977,9999,99,9997,999,99
APPS,45103010,451030,4510,45,511210,5112,51,7372,737,73
SEE,15103020,151030,1510,15,326113,3261,32,3081,308,30
IIN,35101010,351010,3510,35,334510,3345,33,3842,384,38
SMTC,45301020,453010,4530,45,334413,3344,33,3674,367,36
SCI,25302020,253020,2530,25,812210,8122,81,7200,720,72
SHEN,50102010,501020,5010,50,517311,5173,51,4813,481,48
SHW,15101050,151010,1510,15,325510,3255,32,2851,285,28
AOS,20102010,201020,2010,20,335220,3352,33,3630,363,36
SJM,30202030,302020,3020,30,311421,3114,31,2033,203,20
SNA,20106020,201060,2010,20,332216,3322,33,3420,342,34
KEY,40101015,401010,4010,40,522110,5221,52,6020,602,60
SON,15103020,151030,1510,15,322219,3222,32,2650,265,26
SJI,55102010,551020,5510,55,221210,2212,22,4924,492,49
EIX,55101010,551010,5510,55,22111,2211,22,4911,491,49
AWR,55104010,551040,5510,55,221310,2213,22,4941,494,49
SO,55101010,551010,5510,55,2211,2211,22,4911,491,49
LUV,20302010,203020,2030,20,481111,4811,48,4512,451,45
SWX,55102010,551020,5510,55,221210,2212,22,4923,492,49
T,50101020,501010,5010,50,517312,5173,51,4812,481,48
SWN,10102020,101020,1010,10,2111,2111,21,4923,492,49
SHYF,20106010,201060,2010,20,336120,3361,33,3711,371,37
STAA,35101020,351010,3510,35,339115,3391,33,3851,385,38
SMP,25101010,251010,2510,25,336320,3363,33,3690,369,36
SXI,20106020,201060,2010,20,333415,3334,33,3585,358,35
SWK,20106020,201060,2010,20,333991,3339,33,3540,354,35
STT,40203010,402030,4020,40,523920,5239,52,6020,602,60
SCL,15101050,151010,1510,15,325613,3256,32,2840,284,28
STC,40301040,403010,4030,40,524127,5241,52,6361,636,63
PSA,60101080,601010,6010,60,531130,5311,53,6798,679,67
SYK,35101010,351010,3510,35,339113,3391,33,3842,384,38
NAVI,40202010,402020,4020,40,522298,5222,52,6111,611,61
RGR,25202010,252020,2520,25,332994,3329,33,3480,348,34
SGC,25203010,252030,2520,25,315,315,31,2300,230,23
SYY,30101020,301010,3010,30,4244,4244,42,5140,514,51
TISI,20201050,202010,2020,20,541380,5413,54,8734,873,87
TRC,60102010,601020,6010,60,111335,1113,11,100,100,10
ATI,15104050,151040,1510,15,331491,3314,33,3350,335,33
TFX,35101010,351010,3510,35,339112,3391,33,3841,384,38
TDS,50102010,501020,5010,50,517312,5173,51,4812,481,48
TNC,20106020,201060,2010,20,333318,3333,33,3580,358,35
TEN,25101010,251010,2510,25,336390,3363,33,3714,371,37
TER,45301010,453010,4530,45,334515,3345,33,3825,382,38
TXN,45301020,453010,4530,45,334413,3344,33,3674,367,36
TXT,20101010,201010,2010,20,336411,3364,33,3721,372,37
TMO,35203010,352030,3520,35,334516,3345,33,3826,382,38
THO,25102010,251020,2510,25,336214,3362,33,3790,379,37
TDW,10101020,101010,1010,10,488390,4883,48,4400,440,44
SIX,25301030,253010,2530,25,713110,7131,71,7996,799,79
TKR,20106020,201060,2010,20,332991,3329,33,3562,356,35
TR,30202030,302020,3020,30,311340,3113,31,2060,206,20
GL,40301020,403010,4030,40,524113,5241,52,6311,631,63
TTC,20106015,201060,2010,20,333111,3331,33,3523,352,35
TRNS,20107010,201070,2010,20,541380,5413,54,8734,873,87
TRN,20106010,201060,2010,20,336510,3365,33,3743,374,37
TYL,45103010,451030,4510,45,541512,5415,54,7373,737,73
TSN,30202030,302020,3020,30,311611,3116,31,2011,201,20
UAL,20302010,203020,2030,20,481111,4811,48,4512,451,45
UGI,55102010,551020,5510,55,221210,2212,22,4932,493,49
UFI,25203030,252030,2520,25,313110,3131,31,2200,220,22
UNF,20201070,202010,2020,20,315,315,31,2300,230,23
AEE,55103010,551030,5510,55,2211,2211,22,4931,493,49
UNP,20304010,203040,2030,20,482111,4821,48,4011,401,40
UDR,60101060,601010,6010,60,531110,5311,53,6798,679,67
UNH,35102030,351020,3510,35,524114,5241,52,6324,632,63
UMBF,40101015,401010,4010,40,522110,5221,52,6020,602,60
UMH,60101060,601010,6010,60,531110,5311,53,6798,679,67
UPS,20301010,203010,2030,20,492110,4921,49,4210,421,42
RTX,20101010,201010,2010,20,336412,3364,33,3724,372,37
SGMS,25301010,253010,2530,25,334118,3341,33,3570,357,35
UTL,55103010,551030,5510,55,22111,2211,22,4931,493,49
SXT,15101050,151010,1510,15,325199,3251,32,2860,286,28
UVV,30203010,302030,3020,30,424590,4245,42,5150,515,51
UHS,35102020,351020,3510,35,622110,6221,62,8062,806,80
UTMD,35101020,351010,3510,35,334510,3345,33,3845,384,38
VFC,25203010,252030,2520,25,315,315,31,2300,230,23
VSEC,20201070,202010,2020,20,541330,5413,54,8711,871,87
VMI,20103010,201030,2010,20,332312,3323,33,3440,344,34
VALU,40203040,402030,4020,40,511199,5111,51,2741,274,27
VECO,45301010,453010,4530,45,333242,3332,33,3559,355,35
VLGEA,30101030,301010,3010,30,445110,4451,44,5411,541,54
VSH,45203015,452030,4520,45,334416,3344,33,3670,367,36
VNO,60101040,601010,6010,60,531120,5311,53,6798,679,67
VMC,15102010,151020,1510,15,212319,2123,21,1400,140,14
WDFC,30301010,303010,3030,30,325998,3259,32,2890,289,28
WMT,30101040,301010,3010,30,452319,4523,45,5331,533,53
WBA,30101010,301010,3010,30,446110,4461,44,5912,591,59
GHC,25302010,253020,2530,25,611691,6116,61,8200,820,82
WRE,60101010,601010,6010,60,531120,5311,53,6798,679,67
AVA,55103010,551030,5510,55,2211,2211,22,4931,493,49
WSO,20107010,201070,2010,20,423730,4237,42,5070,507,50
WRI,60101070,601010,6010,60,531120,5311,53,6798,679,67
WMK,30101030,301010,3010,30,445110,4451,44,5411,541,54
WST,35101020,351010,3510,35,326299,3262,32,3060,306,30
WDC,45202030,452020,4520,45,334112,3341,33,3572,357,35
WEYS,25501010,255010,2550,25,424340,4243,42,5130,513,51
WY,60101080,601010,6010,60,321,321,32,2400,240,24
WHR,25201040,252010,2520,25,3352,3352,33,3630,363,36
WMB,10102040,101020,1010,10,486210,4862,48,4922,492,49
WSM,25504060,255040,2550,25,454110,4541,45,5961,596,59
WGO,25102010,251020,2510,25,336214,3362,33,3790,379,37
WEC,55103010,551030,5510,55,2211,2211,22,4931,493,49
LNT,55101010,551010,5510,55,22111,2211,22,4931,493,49
WWW,25203020,252030,2520,25,3162,3162,31,3140,314,31
WWD,20106020,201060,2010,20,335314,3353,33,3620,362,36
FL,25504010,255040,2550,25,448210,4482,44,5661,566,56
WOR,15104050,151040,1510,15,331221,3312,33,3310,331,33
XRX,45202030,452020,4520,45,333316,3333,33,3577,357,35
YORW,55104010,551040,5510,55,221310,2213,22,4941,494,49
SPB,30301010,303010,3030,30,332510,3325,33,3420,342,34
TJX,25504010,255040,2550,25,448140,4481,44,5651,565,56
ZION,40101015,401010,4010,40,522110,5221,52,6020,602,60
OSK,20106010,201060,2010,20,336120,3361,33,3711,371,37
WTM,40301040,403010,4030,40,524126,5241,52,6351,635,63
QLYS,45103020,451030,4510,45,511210,5112,51,7372,737,73
ALEX,60101010,601010,6010,60,5311,5311,53,6798,679,67
SF,40203020,402030,4020,40,523120,5231,52,6211,621,62
OVV,10102020,101020,1010,10,2111,2111,21,1311,131,13
LCII,25101010,251010,2510,25,336211,3362,33,3711,371,37
JKHY,45102020,451020,4510,45,541512,5415,54,7373,737,73
ASB,40101015,401010,4010,40,522110,5221,52,6020,602,60
NMIH,40102010,401020,4010,40,524126,5241,52,6351,635,63
TFC,40101015,401010,4010,40,522110,5221,52,6020,602,60
VLY,40101015,401010,4010,40,522110,5221,52,6020,602,60
FMBI,40101015,401010,4010,40,522110,5221,52,6020,602,60
NGVC,30101030,301010,3010,30,446191,4461,44,5400,540,54
RBB,40101015,401010,4010,40,522110,5221,52,6020,602,60
LAND,60101080,601010,6010,60,531190,5311,53,6798,679,67
BIG,25503020,255030,2550,25,452319,4523,45,5331,533,53
MS,40203020,402030,4020,40,523110,5231,52,6211,621,62
TROW,40203010,402030,4020,40,523930,5239,52,6282,628,62
NNN,60101070,601010,6010,60,525990,5259,52,6798,679,67
MSFT,45103020,451030,4510,45,511210,5112,51,7372,737,73
ORCL,45103020,451030,4510,45,519130,5191,51,7370,737,73
COTY,30302010,303020,3030,30,325620,3256,32,2844,284,28
RGEN,35203010,352030,3520,35,325414,3254,32,2836,283,28
ASTE,20106010,201060,2010,20,333120,3331,33,3531,353,35
WERN,20304020,203040,2030,20,484121,4841,48,4213,421,42
AMWD,20102010,201020,2010,20,337110,3371,33,2430,243,24
HOG,25102020,251020,2510,25,336991,3369,33,3751,375,37
SKYW,20302010,203020,2030,20,481111,4811,48,4512,451,45
TOL,25201030,252010,2520,25,236117,2361,23,1531,153,15
POR,55101010,551010,5510,55,2211,2211,22,4911,491,49
VIVO,35101020,351010,3510,35,325413,3254,32,2835,283,28
IT,45102010,451020,4510,45,541910,5419,54,8700,870,87
WTS,20106020,201060,2010,20,332919,3329,33,3490,349,34
NVR,25201030,252010,2520,25,236117,2361,23,1531,153,15
INT,10102030,101020,1010,10,424720,4247,42,5172,517,51
CLFD,45201020,452010,4520,45,334419,3344,33,3679,367,36
ATUS,50201030,502010,5020,50,515210,5152,51,4841,484,48
ADBE,45103010,451030,4510,45,518210,5182,51,7370,737,73
JOE,60102010,601020,6010,60,721110,7211,72,7011,701,70
DJCO,50201040,502010,5020,50,511210,5112,51,7372,737,73
EHC,35102020,351020,3510,35,622310,6223,62,8060,806,80
CNO,40301020,403010,4030,40,524114,5241,52,6321,632,63
MHO,25201030,252010,2520,25,236117,2361,23,1531,153,15
MRTN,20304020,203040,2030,20,484230,4842,48,4213,421,42
FISV,45102020,451020,4510,45,518210,5182,51,7374,737,73
KBH,25201030,252010,2520,25,236117,2361,23,1531,153,15
CVM,35201010,352010,3520,35,325414,3254,32,2836,283,28
ABEO,35201010,352010,3520,35,325414,3254,32,2836,283,28
APYX,35101010,351010,3510,35,334510,3345,33,3845,384,38
UNM,40301020,403010,4030,40,524114,5241,52,6321,632,63
PPC,30202030,302020,3020,30,311615,3116,31,2015,201,20
CLGX,20202020,202020,2020,20,518210,5182,51,7374,737,73
JJSF,30202030,302020,3020,30,311812,3118,31,2050,205,20
HTLD,20304020,203040,2030,20,484121,4841,48,4213,421,42
CERN,35103010,351030,3510,35,541512,5415,54,7373,737,73
ICAD,35103010,351030,3510,35,334510,3345,33,3845,384,38
MKL,40301040,403010,4030,40,524126,5241,52,6331,633,63
OSUR,35101020,351010,3510,35,325413,3254,32,2835,283,28
FRPH,60102020,601020,6010,60,531120,5311,53,6512,651,65
PLXS,45203020,452030,4520,45,334412,3344,33,3672,367,36
CDZI,55104010,551040,5510,55,221310,2213,22,4941,494,49
IMKTA,30101030,301010,3010,30,445110,4451,44,5411,541,54
SNV,40101015,401010,4010,40,522110,5221,52,6020,602,60
RDNT,35102015,351020,3510,35,621512,6215,62,8071,807,80
JACK,25301040,253010,2530,25,722513,7225,72,5812,581,58
PEAK,60101050,601010,6010,60,531120,5311,53,6798,679,67
CMO,40204010,402040,4020,40,525990,5259,52,6798,679,67
PLAB,45301010,453010,4530,45,334413,3344,33,3674,367,36
SAFM,30202030,302020,3020,30,311615,3116,31,2015,201,20
PGR,40301040,403010,4030,40,524126,5241,52,6331,633,63
RLI,40301040,403010,4030,40,524126,5241,52,6331,633,63
VOXX,25201010,252010,2520,25,334310,3343,33,3651,365,36
CDNS,45103010,451030,4510,45,511210,5112,51,7372,737,73
BRY,10102020,101020,1010,10,211120,2111,21,1311,131,13
OPY,40203020,402030,4020,40,523110,5231,52,6211,621,62
EBIX,45103010,451030,4510,45,511210,5112,51,7372,737,73
CCL,25301020,253010,2530,25,483112,4831,48,4400,440,44
DRE,60101020,601010,6010,60,531120,5311,53,6798,679,67
MBI,40301040,403010,4030,40,524126,5241,52,6351,635,63
BDN,60101040,601010,6010,60,531120,5311,53,6798,679,67
MIDD,20106020,201060,2010,20,333318,3333,33,3580,358,35
EQC,60101040,601010,6010,60,531120,5311,53,6798,679,67
UHT,60101050,601010,6010,60,531120,5311,53,6798,679,67
CRMT,25504050,255040,2550,25,441120,4411,44,5500,550,55
ABMD,35101010,351010,3510,35,339112,3391,33,3841,384,38
CNMD,35101010,351010,3510,35,334510,3345,33,3845,384,38
XRAY,35101020,351010,3510,35,339114,3391,33,3843,384,38
VIAC,50201020,502010,5020,50,515120,5151,51,4888,488,48
ZTS,35202010,352020,3520,35,325412,3254,32,2834,283,28
HRTX,35201010,352010,3520,35,325414,3254,32,2836,283,28
FICO,45103010,451030,4510,45,541512,5415,54,7373,737,73
COOP,40102010,401020,4010,40,522292,5222,52,6162,616,61
JOUT,25202010,252020,2520,25,336320,3363,33,3690,369,36
VGR,30203010,302030,3020,30,531210,5312,53,6531,653,65
SCHW,40203020,402030,4020,40,523920,5239,52,6282,628,62
CLH,20201050,202010,2020,20,562211,5622,56,4955,495,49
AIN,20106020,201060,2010,20,313210,3132,31,2221,222,22
CYBE,45301010,453010,4530,45,333314,3333,33,3827,382,38
MITK,45103010,451030,4510,45,333316,3333,33,3577,357,35
FULT,40101015,401010,4010,40,522110,5221,52,6020,602,60
BXS,40101015,401010,4010,40,522110,5221,52,6020,602,60
FAST,20107010,201070,2010,20,423,423,42,5000,500,50
WABC,40101015,401010,4010,40,522110,5221,52,6020,602,60
MXIM,45301020,453010,4530,45,334413,3344,33,3674,367,36
HLF,30302010,303020,3030,30,424210,4242,42,5122,512,51
FRC,40101015,401010,4010,40,522110,5221,52,6020,602,60
APH,45203015,452030,4520,45,334417,3344,33,3678,367,36
IPAR,30302010,303020,3030,30,325620,3256,32,2844,284,28
PII,25202010,252020,2520,25,336999,3369,33,3790,379,37
ICPT,35201010,352010,3520,35,325414,3254,32,2836,283,28
PXD,10102020,101020,1010,10,211120,2111,21,1311,131,13
USM,50102010,501020,5010,50,517312,5173,51,4812,481,48
MAN,20202010,202020,2020,20,561320,5613,56,7363,736,73
ITIC,40301040,403010,4030,40,524127,5241,52,6361,636,63
DX,40204010,402040,4020,40,525990,5259,52,6798,679,67
MGM,25301010,253010,2530,25,721120,7211,72,7990,799,79
WM,20201050,202010,2020,20,562111,5621,56,4953,495,49
DELL,45202030,452020,4520,45,334111,3341,33,3571,357,35
SSP,50201020,502010,5020,50,515120,5151,51,4833,483,48
SAMG,40203010,402030,4020,40,523930,5239,52,6282,628,62
IIVI,45203015,452030,4520,45,333314,3333,33,3827,382,38
FCX,15104025,151040,1510,15,212230,2122,21,1000,100,10
CDMO,35201010,352010,3520,35,325413,3254,32,2835,283,28
ODP,25504040,255040,2550,25,453210,4532,45,5940,594,59
MTH,25201030,252010,2520,25,236117,2361,23,1531,153,15
ARCH,10102050,101020,1010,10,21211,2121,21,1220,122,12
WRB,40301040,403010,4030,40,524126,5241,52,6331,633,63
CINF,40301040,403010,4030,40,524126,5241,52,6331,633,63
ORI,40301040,403010,4030,40,524126,5241,52,6331,633,63
MGPI,30201020,302010,3020,30,312140,3121,31,2085,208,20
DDD,45202030,452020,4520,45,333249,3332,33,3559,355,35
DVN,10102020,101020,1010,10,2111,2111,21,1311,131,13
LNN,20106015,201060,2010,20,333111,3331,33,3523,352,35
LH,35102015,351020,3510,35,621511,6215,62,8071,807,80
WDAY,45103010,451030,4510,45,519130,5191,51,7370,737,73
MFA,40204010,402040,4020,40,525990,5259,52,6798,679,67
RPT,60101070,601010,6010,60,531120,5311,53,6798,679,67
STAR,60101010,601010,6010,60,531190,5311,53,6798,679,67
AGM,40102010,401020,4010,40,522298,5222,52,6111,611,61
SRCE,40101015,401010,4010,40,522110,5221,52,6020,602,60
VLO,10102030,101020,1010,10,324110,3241,32,2911,291,29
TRS,20106020,201060,2010,20,332119,3321,33,3460,346,34
IEX,20106020,201060,2010,20,333914,3339,33,3561,356,35
MLI,20106020,201060,2010,20,331420,3314,33,3350,335,33
TCF,40101015,401010,4010,40,522110,5221,52,6020,602,60
ARGO,40301040,403010,4030,40,524126,5241,52,6351,635,63
TECH,35203010,352030,3520,35,325414,3254,32,2836,283,28
BRO,40301010,403010,4030,40,524210,5242,52,6411,641,64
AMBA,45301020,453010,4530,45,334413,3344,33,3674,367,36
TG,15101010,151010,1510,15,326113,3261,32,3081,308,30
SIG,25504040,255040,2550,25,448310,4483,44,5944,594,59
PRTK,35202010,352020,3520,35,325412,3254,32,2834,283,28
NLOK,45103020,451030,4510,45,511210,5112,51,7372,737,73
SPWH,25504040,255040,2550,25,451110,4511,45,5940,594,59
ABBV,35201010,352010,3520,35,325414,3254,32,2836,283,28
APAM,40203010,402030,4020,40,523920,5239,52,6282,628,62
CONE,60101080,601010,6010,60,531120,5311,53,6798,679,67
GMRE,60101050,601010,6010,60,531120,5311,53,6798,679,67
CGNX,45203010,452030,4520,45,334513,3345,33,3823,382,38
PBCT,40101015,401010,4010,40,522110,5221,52,6020,602,60
ENTA,35201010,352010,3520,35,325414,3254,32,2836,283,28
VOYA,40201020,402010,4020,40,524113,5241,52,6311,631,63
CRUS,45301020,453010,4530,45,334413,3344,33,3674,367,36
NEOG,35101020,351010,3510,35,325412,3254,32,2834,283,28
HNGR,35102020,351020,3510,35,621498,6214,62,8093,809,80
LEA,25101010,251010,2510,25,336360,3363,33,2531,253,25
EOG,10102020,101020,1010,10,2111,2111,21,1311,131,13
BCC,20107010,201070,2010,20,423310,4233,42,5031,503,50
ZIXI,45103010,451030,4510,45,518210,5182,51,7370,737,73
SFBS,40101015,401010,4010,40,522110,5221,52,6020,602,60
LSCC,45301020,453010,4530,45,334413,3344,33,3674,367,36
TMHC,25201030,252010,2520,25,236117,2361,23,1531,153,15
AROW,40101015,401010,4010,40,522110,5221,52,6020,602,60
NBN,40101015,401010,4010,40,522110,5221,52,6020,602,60
BMTC,40101015,401010,4010,40,522110,5221,52,6020,602,60
CPF,40101015,401010,4010,40,522110,5221,52,6020,602,60
DGII,45201020,452010,4520,45,334210,3342,33,3576,357,35
DGICA,40301040,403010,4030,40,524126,5241,52,6331,633,63
EA,50202020,502020,5020,50,511210,5112,51,7372,737,73
HMHC,25302010,253020,2530,25,511130,5111,51,2731,273,27
PRTA,35201010,352010,3520,35,325414,3254,32,2836,283,28
CNBKA,40101015,401010,4010,40,522110,5221,52,6020,602,60
CIA,40301020,403010,4030,40,524113,5241,52,6311,631,63
FBNC,40101015,401010,4010,40,522110,5221,52,6020,602,60
CHCO,40101015,401010,4010,40,522110,5221,52,6020,602,60
CBU,40101015,401010,4010,40,522110,5221,52,6020,602,60
FBP,40101015,401010,4010,40,522110,5221,52,6020,602,60
GBCI,40101015,401010,4010,40,522110,5221,52,6020,602,60
FRME,40101015,401010,4010,40,522110,5221,52,6020,602,60
TVTX,35201010,352010,3520,35,325414,3254,32,2836,283,28
INDB,40101015,401010,4010,40,522110,5221,52,6020,602,60
IBCP,40101015,401010,4010,40,522110,5221,52,6020,602,60
HIFS,40102010,401020,4010,40,522120,5221,52,6036,603,60
OFG,40101015,401010,4010,40,522110,5221,52,6020,602,60
PEBK,40101015,401010,4010,40,522110,5221,52,6020,602,60
LSXMK,50201030,502010,5020,50,515112,5151,51,4832,483,48
XONE,20106020,201060,2010,20,3332,3332,33,3550,355,35
MCY,40301040,403010,4030,40,524126,5241,52,6331,633,63
NWLI,40301020,403010,4030,40,524113,5241,52,6311,631,63
ONB,40101015,401010,4010,40,522110,5221,52,6020,602,60
IMGN,35201010,352010,3520,35,325414,3254,32,2836,283,28
PEBO,40101015,401010,4010,40,522110,5221,52,6020,602,60
SIGI,40301040,403010,4030,40,524126,5241,52,6331,633,63
SIVB,40101015,401010,4010,40,522110,5221,52,6020,602,60
IHC,40301020,403010,4030,40,524114,5241,52,6321,632,63
WSFS,40102010,401020,4010,40,522120,5221,52,6035,603,60
WAFD,40102010,401020,4010,40,522110,5221,52,6020,602,60
WBS,40101015,401010,4010,40,522110,5221,52,6020,602,60
WSBC,40101015,401010,4010,40,522110,5221,52,6020,602,60
ACNB,40101015,401010,4010,40,522110,5221,52,6020,602,60
SBCF,40101015,401010,4010,40,522110,5221,52,6020,602,60
FFBC,40101015,401010,4010,40,522110,5221,52,6020,602,60
BLFS,35101020,351010,3510,35,325414,3254,32,2836,283,28
TALO,10102020,101020,1010,10,211120,2111,21,1311,131,13
TMP,40101015,401010,4010,40,522110,5221,52,6020,602,60
TRST,40102010,401020,4010,40,522120,5221,52,6035,603,60
UBSI,40101015,401010,4010,40,522110,5221,52,6020,602,60
UFCS,40301040,403010,4030,40,524126,5241,52,6331,633,63
NVEE,20103010,201030,2010,20,541330,5413,54,8711,871,87
PFSI,40102010,401020,4010,40,522292,5222,52,6162,616,61
ARTNA,55104010,551040,5510,55,221310,2213,22,4941,494,49
AMNB,40101015,401010,4010,40,522110,5221,52,6020,602,60
IBTX,40101015,401010,4010,40,522110,5221,52,6020,602,60
CMRX,35201010,352010,3520,35,325414,3254,32,2836,283,28
CCNE,40101015,401010,4010,40,522110,5221,52,6020,602,60
MODN,45103010,451030,4510,45,519130,5191,51,7370,737,73
RBNC,40101015,401010,4010,40,522110,5221,52,6020,602,60
AHH,60101010,601010,6010,60,531120,5311,53,6798,679,67
AMH,60101060,601010,6010,60,531110,5311,53,6798,679,67
ADMA,35201010,352010,3520,35,325414,3254,32,2836,283,28
HMTV,50201020,502010,5020,50,515120,5151,51,4833,483,48
TSC,40101015,401010,4010,40,522110,5221,52,6020,602,60
CVLY,40101015,401010,4010,40,522110,5221,52,6020,602,60
CNOB,40101015,401010,4010,40,522110,5221,52,6020,602,60
HASI,40204010,402040,4020,40,531120,5311,53,6798,679,67
EPZM,35201010,352010,3520,35,325414,3254,32,2836,283,28
ECOM,45103010,451030,4510,45,518210,5182,51,7370,737,73
TMUS,50102010,501020,5010,50,517312,5173,51,4812,481,48
NCBS,40101015,401010,4010,40,522110,5221,52,6020,602,60
CHMG,40101015,401010,4010,40,522110,5221,52,6020,602,60
NRZ,40204010,402040,4020,40,525990,5259,52,6798,679,67
IQV,35203010,352030,3520,35,54171,5417,54,8731,873,87
SFM,30101030,301010,3010,30,445110,4451,44,5411,541,54
FI,10101020,101010,1010,10,213112,2131,21,1389,138,13
BLUE,35201010,352010,3520,35,325414,3254,32,2836,283,28
CCS,25201030,252010,2520,25,236117,2361,23,1531,153,15
NSTG,35203010,352030,3520,35,325413,3254,32,2835,283,28
COMM,45201020,452010,4520,45,334220,3342,33,3663,366,36
CZNC,40101015,401010,4010,40,522110,5221,52,6020,602,60
FRBK,40101015,401010,4010,40,522110,5221,52,6020,602,60
NWSA,50201040,502010,5020,50,511110,5111,51,2711,271,27
NDLS,25301040,253010,2530,25,722513,7225,72,5812,581,58
FNB,40101015,401010,4010,40,522110,5221,52,6020,602,60
REXR,60101020,601010,6010,60,531120,5311,53,6798,679,67
CHMI,40204010,402040,4020,40,525990,5259,52,6798,679,67
DOC,60101050,601010,6010,60,531120,5311,53,6798,679,67
AGIO,35201010,352010,3520,35,325414,3254,32,2836,283,28
ESPR,35201010,352010,3520,35,325414,3254,32,2836,283,28
FDBC,40101015,401010,4010,40,522110,5221,52,6020,602,60
ANIP,35202010,352020,3520,35,325412,3254,32,2834,283,28
FCF,40101015,401010,4010,40,522110,5221,52,6020,602,60
FVCB,40101015,401010,4010,40,522110,5221,52,6020,602,60
THFF,40101015,401010,4010,40,522110,5221,52,6020,602,60
ASC,10102040,101020,1010,10,483111,4831,48,4412,441,44
CWEN,55105010,551050,5510,55,2211,2211,22,4911,491,49
SC,40202010,402020,4020,40,522291,5222,52,6141,614,61
FLIC,40101015,401010,4010,40,522110,5221,52,6020,602,60
USFD,30101020,301010,3010,30,4244,4244,42,5140,514,51
PGEN,35201010,352010,3520,35,325414,3254,32,2836,283,28
FOXF,25101010,251010,2510,25,336991,3369,33,3751,375,37
BUSE,40101015,401010,4010,40,522110,5221,52,6020,602,60
BRX,60101070,601010,6010,60,531120,5311,53,6798,679,67
FRAF,40101015,401010,4010,40,522110,5221,52,6020,602,60
ALRS,40201020,402010,4020,40,522110,5221,52,6020,602,60
SPNT,40301050,403010,4030,40,524130,5241,52,6331,633,63
AR,10102020,101020,1010,10,2111,2111,21,1311,131,13
FEYE,45103020,451030,4510,45,541512,5415,54,7373,737,73
IRT,60101060,601010,6010,60,531110,5311,53,6798,679,67
MUSA,25504050,255040,2550,25,447110,4471,44,5500,550,55
XLRN,35201010,352010,3520,35,325414,3254,32,2836,283,28
HBNC,40101015,401010,4010,40,522110,5221,52,6020,602,60
CHGG,25302010,253020,2530,25,519130,5191,51,7370,737,73
BNFT,45103010,451030,4510,45,518210,5182,51,7370,737,73
FATE,35201010,352010,3520,35,325414,3254,32,2836,283,28
AAOI,45201020,452010,4520,45,334413,3344,33,3674,367,36
ISEE,35201010,352010,3520,35,325414,3254,32,2836,283,28
QTS,60101080,601010,6010,60,531120,5311,53,6798,679,67
RMAX,60102040,601020,6010,60,531210,5312,53,6531,653,65
PINC,35102015,351020,3510,35,424210,4242,42,5122,512,51
GLOB,45102010,451020,4510,45,54151,5415,54,7370,737,73
LGIH,25201030,252010,2520,25,236117,2361,23,1531,153,15
RNG,45103010,451030,4510,45,518210,5182,51,7370,737,73
MGNX,35201010,352010,3520,35,325414,3254,32,2836,283,28
BURL,25504010,255040,2550,25,4481,4481,44,5600,560,56
SAIC,20202020,202020,2020,20,541512,5415,54,7373,737,73
VEEV,35103010,351030,3510,35,519130,5191,51,7370,737,73
PTC,45103010,451030,4510,45,511210,5112,51,7372,737,73
LKFN,40101015,401010,4010,40,522110,5221,52,6020,602,60
ESNT,40102010,401020,4010,40,524126,5241,52,6351,635,63
AERI,35202010,352020,3520,35,325414,3254,32,2836,283,28
GLPI,60101080,601010,6010,60,531120,5311,53,6798,679,67
TCS,25504040,255040,2550,25,442299,4422,44,5700,570,57
TWTR,50203010,502030,5020,50,519130,5191,51,7370,737,73
EXPI,60102040,601020,6010,60,531210,5312,53,6531,653,65
GLYC,35201010,352010,3520,35,325414,3254,32,2836,283,28
AMRX,35202010,352020,3520,35,325412,3254,32,2834,283,28
TNDM,35101010,351010,3510,35,334510,3345,33,3845,384,38
KPTI,35201010,352010,3520,35,325412,3254,32,2834,283,28
XNCR,35201010,352010,3520,35,325414,3254,32,2836,283,28
VCYT,35201010,352010,3520,35,325413,3254,32,2835,283,28
MMI,60102040,601020,6010,60,531210,5312,53,6531,653,65
REPH,35202010,352020,3520,35,325412,3254,32,2834,283,28
VRNS,45103020,451030,4510,45,511210,5112,51,7372,737,73
CWH,25504050,255040,2550,25,441210,4412,44,5500,550,55
NBTB,40101015,401010,4010,40,522110,5221,52,6020,602,60
OVBC,40101015,401010,4010,40,522110,5221,52,6020,602,60
KIN,35201010,352010,3520,35,325414,3254,32,2836,283,28
RARE,35201010,352010,3520,35,325414,3254,32,2836,283,28
OSBC,40101015,401010,4010,40,522110,5221,52,6020,602,60
