tic,gic_sub_industry,gic_industry,gic_group,gic_sector,naics_industry,naics_group,naiscs_sector,sic_industry,sic_group,sic_sector
CR,20106020,201060,2010,20,332912,3329,33,3490,349,34
OMF,40202010,402020,4020,40,522291,5222,52,6141,614,61
CCK,15103010,151030,1510,15,332431,3324,33,3411,341,34
CFR,40101015,401010,4010,40,522110,5221,52,6020,602,60
CMI,20106010,201060,2010,20,333618,3336,33,3510,351,35
CW,20101010,201010,2010,20,332912,3329,33,3728,372,37
WEN,25301040,253010,2530,25,722511,7225,72,5812,581,58
DAN,25101010,251010,2510,25,336390,3363,33,3714,371,37
DHR,35101010,351010,3510,35,334516,3345,33,3826,382,38
TGT,25503020,255030,2550,25,452319,4523,45,5331,533,53
DE,20106015,201060,2010,20,333111,3331,33,3523,352,35
DAL,20302010,203020,2030,20,481111,4811,48,4512,451,45
DLX,20201010,202010,2020,20,3231,3231,32,2780,278,27
DTE,55103010,551030,5510,55,2211,2211,22,4931,493,49
ATGE,25302010,253020,2530,25,611310,6113,61,8200,820,82
DBD,45202030,452020,4520,45,334118,3341,33,3578,357,35
DDS,25503010,255030,2550,25,452210,4522,45,5311,531,53
DIOD,45301020,453010,4530,45,334413,3344,33,3674,367,36
DIS,50202010,502020,5020,50,515120,5151,51,4888,488,48
DG,25503020,255030,2550,25,452319,4523,45,5331,533,53
D,55103010,551030,5510,55,22111,2211,22,4911,491,49
DCI,20106020,201060,2010,20,336390,3363,33,3714,371,37
DOV,20106020,201060,2010,20,333415,3334,33,3585,358,35
DD,15101050,151010,1510,15,325199,3251,32,2860,286,28
OMC,50201010,502010,5020,50,541810,5418,54,7311,731,73
DCO,20101010,201010,2010,20,336413,3364,33,3728,372,37
DUK,55101010,551010,5510,55,2211,2211,22,4931,493,49
DNB,20202020,202020,2020,20,561450,5614,56,7323,732,73
FLS,20106020,201060,2010,20,333914,3339,33,3561,356,35
DY,20103010,201030,2010,20,237130,2371,23,1623,162,16
PKI,35203010,352030,3520,35,334516,3345,33,3826,382,38
EML,20106020,201060,2010,20,332510,3325,33,3420,342,34
EGP,60101020,601010,6010,60,531120,5311,53,6798,679,67
ETN,20104010,201040,2010,20,335314,3353,33,3620,362,36
ECL,15101050,151010,1510,15,325612,3256,32,2842,284,28
EMR,20104010,201040,2010,20,334513,3345,33,3823,382,38
ATO,55102010,551020,5510,55,221210,2212,22,4924,492,49
EBF,20201010,202010,2020,20,323111,3231,32,2761,276,27
ENZ,35102015,351020,3510,35,621511,6215,62,8071,807,80
EFX,20202020,202020,2020,20,561450,5614,56,7323,732,73
EQT,10102020,101020,1010,10,2111,2111,21,4923,492,49
ESCA,25202010,252020,2520,25,339920,3399,33,3949,394,39
NEU,15101050,151010,1510,15,325180,3251,32,2860,286,28
EXPD,20301010,203010,2030,20,488510,4885,48,4731,473,47
BOOM,10101020,101010,1010,10,333132,3331,33,3533,353,35
IIIN,20102010,201020,2010,20,332618,3326,33,3310,331,33
XOM,10102010,101020,1010,10,324110,3241,32,2911,291,29
FMC,15101030,151010,1510,15,325320,3253,32,2870,287,28
NEE,55101010,551010,5510,55,22111,2211,22,4911,491,49
FARM,30202030,302020,3020,30,311920,3119,31,2090,209,20
FDX,20301010,203010,2030,20,492110,4921,49,4513,451,45
FRT,60101070,601010,6010,60,531120,5311,53,6798,679,67
FSS,20106010,201060,2010,20,336120,3361,33,3711,371,37
M,25503010,255030,2550,25,452210,4522,45,5311,531,53
FOE,15101050,151010,1510,15,325510,3255,32,2851,285,28
FITB,40101015,401010,4010,40,522110,5221,52,6020,602,60
RF,40101015,401010,4010,40,522110,5221,52,6020,602,60
TRMK,40101015,401010,4010,40,522110,5221,52,6020,602,60
FCNCA,40101015,401010,4010,40,522110,5221,52,6020,602,60
MTB,40101015,401010,4010,40,522110,5221,52,6020,602,60
USB,40101010,401010,4010,40,522110,5221,52,6020,602,60
FHN,40101015,401010,4010,40,522110,5221,52,6020,602,60
FLO,30202030,302020,3020,30,311812,3118,31,2050,205,20
FLR,20103010,201030,2010,20,237990,2379,23,1600,160,16
F,25102010,251020,2510,25,33611,3361,33,3711,371,37
FSTR,20106020,201060,2010,20,423510,4235,42,5051,505,50
FELE,20106020,201060,2010,20,335312,3353,33,3621,362,36
BEN,40203010,402030,4020,40,523920,5239,52,6282,628,62
FUL,15101050,151010,1510,15,325520,3255,32,2891,289,28
GATX,20107010,201070,2010,20,532411,5324,53,4700,470,47
AJG,40301010,403010,4030,40,524210,5242,52,6411,641,64
TGNA,50201020,502010,5020,50,515120,5151,51,4833,483,48
GPS,25504010,255040,2550,25,448140,4481,44,5651,565,56
AJRD,20101010,201010,2010,20,336415,3364,33,3760,376,37
GD,20101010,201010,2010,20,336411,3364,33,3721,372,37
GE,20105010,201050,2010,20,999977,9999,99,9997,999,99
GIS,30202030,302020,3020,30,311230,3112,31,2040,204,20
ALLY,40202010,402020,4020,40,522220,5222,52,6172,617,61
GM,25102010,251020,2510,25,33611,3361,33,3711,371,37
SPXC,20106020,201060,2010,20,333415,3334,33,3585,358,35
GCO,25504010,255040,2550,25,448210,4482,44,5661,566,56
GNTX,25101010,251010,2510,25,336390,3363,33,3714,371,37
GPC,25501010,255010,2550,25,423120,4231,42,5013,501,50
GTY,60101070,601010,6010,60,531120,5311,53,6798,679,67
GLT,15105020,151050,1510,15,322121,3221,32,2621,262,26
