gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,revt,cik,costat,ggroup,gind,gsector,gsubind,naics,sic
005073,20211231,2021,INDL,C,D,STD,GM,GENERAL MOTORS CO,USD,127004.0000,0001467858,A,2510,251020,25,25102010,33611,3711
005087,20211231,2021,INDL,C,D,STD,SPXC,SPX CORP,USD,1219.5000,0000088205,A,2010,201060,20,20106020,333415,3585
005125,20211231,2021,INDL,C,D,STD,GPC,GENUINE PARTS CO,USD,18870.5100,0000040987,A,2550,255010,25,25501010,423120,5013
005149,20211231,2021,INDL,C,D,STD,GTY,GETTY REALTY CORP,USD,156.4830,0001052752,A,6010,601010,60,60101070,531120,6798
005234,20211231,2021,INDL,C,D,STD,GT,GOODYEAR TIRE & RUBBER CO,USD,17522.0000,0000042582,A,2510,251010,25,25101020,326211,3011
005237,20211231,2021,INDL,C,D,STD,GRC,GORMAN-RUPP CO,USD,378.3160,0000042682,A,2010,201060,20,20106020,333914,3561
005252,20211231,2021,INDL,C,D,STD,GGG,GRACO INC,USD,1987.6080,0000042888,A,2010,201060,20,20106020,333914,3561
005338,20211031,2021,INDL,C,D,STD,GEF,GREIF INC  -CL A,USD,5556.1000,0000043920,A,1510,151030,15,15103010,322219,2650
005496,20211231,2021,INDL,C,D,STD,HSC,HARSCO CORP,USD,1848.3990,0000045876,A,2020,202010,20,20201050,331110,3390
005518,20211231,2021,INDL,C,D,STD,HAS,HASBRO INC,USD,6420.4000,0000046080,A,2520,252020,25,25202010,339930,3944
005523,20211231,2021,INDL,C,D,STD,HVT,HAVERTY FURNITURE,USD,1012.7990,0000216085,A,2550,255040,25,25504060,442110,5712
005530,20210331,2020,INDL,C,D,STD,HWKN,HAWKINS INC,USD,596.8710,0000046250,A,1510,151010,15,15101010,424690,5160
005543,20211231,2021,FS,C,D,STD,WELL,WELLTOWER INC,USD,4768.8000,0000766704,A,6010,601010,60,60101050,531110,6798
005543,20211231,2021,INDL,C,D,STD,WELL,WELLTOWER INC,USD,4719.1820,0000766704,A,6010,601010,60,60101050,531110,6798
005567,20211031,2021,INDL,C,D,STD,HEI,HEICO CORP,USD,1865.6820,0000046619,A,2010,201010,20,20101010,336412,3724
005568,20211231,2021,INDL,C,D,STD,KHC,KRAFT HEINZ CO,USD,26042.0000,0001637459,A,3020,302020,30,30202030,31142,2030
005572,20210228,2020,INDL,C,D,STD,HELE,HELEN OF TROY LTD,USD,2098.7990,0000916789,A,2520,252010,25,25201040,335210,3634
005581,20210930,2021,INDL,C,D,STD,HP,HELMERICH & PAYNE,USD,1218.5680,0000046765,A,1010,101010,10,10101010,213111,1381
005597,20211231,2021,INDL,C,D,STD,HSY,HERSHEY CO,USD,8971.3370,0000047111,A,3020,302020,30,30202030,3113,2060
005606,20211031,2021,INDL,C,D,STD,HPQ,HP INC,USD,63487.0000,0000047217,A,4520,452020,45,45202030,33411,3570
005643,20211231,2021,INDL,C,D,STD,HLT,HILTON WORLDWIDE HOLDINGS,USD,5788.0000,0001585689,A,2530,253010,25,25301020,721110,7011
005680,20220131,2021,INDL,C,D,STD,HD,HOME DEPOT INC,USD,151157.0000,0000354950,A,2550,255040,25,25504030,444110,5211
005690,20211231,2021,INDL,C,D,STD,HNI,HNI CORP,USD,2184.4080,0000048287,A,2020,202010,20,20201060,337214,2522
